priority,shop_id,name,primary_type,assigned_type_id,assigned_category,tags,comments,score,flags,suggestion,evidence
87,10259,新山韓國烤肉,db_current,2008,中式料理,韓式,6888,4.8,keyword_conflict;defaulted_to_chinese;korean_tag_review;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：烤肉,日式燒肉:烤肉; 韓式 tag
87,10271,UNCLE-K 排骨火鍋店,db_current,2008,中式料理,韓式,5084,4.8,keyword_conflict;defaulted_to_chinese;korean_tag_review;high_impact,檢查是否應改為 火鍋 (2001)；命中：火鍋,火鍋:火鍋; 韓式 tag
87,10218,금하동(金河洞-韓式烤肉專門店),db_current,2008,中式料理,韓式,5043,4.9,keyword_conflict;defaulted_to_chinese;korean_tag_review;high_impact,檢查是否應改為 火鍋 (2001)；命中：火鍋,火鍋:火鍋; 日式燒肉:韓式烤肉、烤肉; 韓式 tag
87,10443,金孫韓廚 義大利麵 (中山店),db_current,2008,中式料理,韓式、義式,2950,4.6,keyword_conflict;defaulted_to_chinese;korean_tag_review;high_impact,檢查是否應改為 義法料理 (2007)；命中：義大利麵、義大利、義式,義法料理:義大利麵、義大利、義式; 韓式 tag
87,10568,韓大佬,db_current,2008,中式料理,韓式、親子,1325,4.5,keyword_conflict;defaulted_to_chinese;korean_tag_review;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：烤肉,日式燒肉:烤肉; 韓式 tag
75,10338,青青食尚花園會館,db_current,2008,中式料理,約會、景觀,14126,4.7,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 日式燒肉 (2002)；命中：燒肉,日式燒肉:燒肉; 咖啡/甜點:下午茶
75,10342,溫咖哩 Wen Curry,db_current,2008,中式料理,牛排、約會,11048,4.7,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 美式料理 (2010)；命中：牛排,美式料理:牛排
75,10731,瀧厚炙燒熟成牛排 台北.北車店,db_current,2008,中式料理,牛排、親子,6491,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 美式料理 (2010)；命中：牛排,美式料理:牛排
75,10514,沾美西餐廳,db_current,2008,中式料理,牛排、吃到飽、約會,6030,4.5,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 美式料理 (2010)；命中：牛排,美式料理:牛排; 自助餐:buffet、自助餐; 咖啡/甜點:蛋糕
75,10735,SALT&STONE 台北101餐廳,db_current,2008,中式料理,約會,5120,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 義法料理 (2007)；命中：燉飯、披薩,義法料理:燉飯、披薩
75,10431,樂野食,db_current,2008,中式料理,約會、親子,4585,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 義法料理 (2007)；命中：燉飯,義法料理:燉飯
75,10520,北投文物館,db_current,2008,中式料理,約會,4051,4.5,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：下午茶,咖啡/甜點:下午茶
75,10436,秦味館 Qin Wei Guan,db_current,2008,中式料理,,3956,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
75,10148,孫立人將軍官邸（陸軍聯誼廳）,db_current,2008,中式料理,包廂、商務,3645,4.3,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
75,10740,大嗑西式餐館,db_current,2008,中式料理,牛排、法式、約會,3005,4.6,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 義法料理 (2007)；命中：法式、燉飯,義法料理:法式、燉飯; 美式料理:牛排
75,10530,莎諾西餐,db_current,2008,中式料理,約會、親子,2625,4.5,keyword_conflict;defaulted_to_chinese;high_impact,檢查是否應改為 咖啡/甜點 (2012)；命中：甜點,咖啡/甜點:甜點
